,pred_VERDE,pred_AMARELO,pred_VERMELHO,pred_CINZA
true_VERDE,1342,1007,12649,0
true_AMARELO,14,15,98,0
true_VERMELHO,35,23,272,0
true_CINZA,0,0,8,0
